,Word,V.Mean.Sum,V.SD.Sum,V.Rat.Sum,A.Mean.Sum,A.SD.Sum,A.Rat.Sum
7988,multiple,5.0,1.61,18,4.0,2.03,20
7990,multiplex,5.09,1.85,22,4.95,2.3,19
7991,multiply,5.43,1.69,21,4.39,1.95,23
7992,multitude,5.0,1.56,20,4.09,2.16,22
7993,mum,5.43,1.21,21,3.35,2.35,23
7995,mumbo,4.76,1.87,21,5.1,1.33,20
7996,mummy,4.81,2.48,21,3.75,2.12,20
7997,mumps,2.61,1.61,18,3.84,2.81,19
7998,munch,6.32,1.53,19,3.62,1.96,21
7999,munchkin,6.95,1.81,19,4.27,2.25,22
8000,mundane,3.63,1.3,19,2.76,1.79,21
8003,murder,1.48,0.81,21,6.24,2.76,21
8004,murderer,1.92,1.63,101,6.83,1.94,82
8005,murderess,2.56,1.54,18,5.8,2.71,20
8007,murky,3.4,1.39,20,3.45,1.82,20
8008,murmur,4.57,1.43,21,4.08,1.58,25
8009,muscle,6.15,1.35,20,4.55,2.46,22
8010,muscular,6.32,1.85,81,4.98,2.48,83
8011,muse,6.3,1.08,20,4.75,2.63,20
8012,museum,6.67,1.59,21,3.74,2.58,23
8013,mush,4.05,1.79,20,3.21,2.41,24
8014,mushroom,5.61,2.0,41,3.14,2.28,44
8015,mushy,4.6,2.09,20,3.71,1.87,21
8016,music,7.67,1.82,40,5.57,3.09,23
8018,musician,6.79,1.55,19,5.52,2.02,21
8019,musk,4.5,1.82,18,2.45,1.88,20
8020,musket,4.13,1.71,23,4.0,2.74,18
8021,musketeer,4.76,1.95,21,4.71,2.45,21
8022,muskrat,4.15,1.9,20,3.5,2.18,18
8024,mustang,6.32,1.97,19,6.14,2.83,22
8025,mustard,4.74,1.41,19,3.39,2.0,18
8026,muster,4.67,1.68,21,3.65,2.31,23
8027,musty,3.37,1.34,19,3.5,2.32,22
8028,mutant,5.06,1.95,18,4.61,2.64,18
8029,mutate,4.16,2.14,19,5.88,2.27,24
8030,mutation,4.14,1.9,37,4.56,2.83,18
8031,mute,3.95,1.47,20,2.45,1.88,20
8033,mutilate,2.0,1.21,20,4.96,2.75,47
8035,mutilation,2.27,1.61,22,5.38,2.67,21
8036,mutiny,4.2,1.91,20,5.18,2.32,22
8037,mutt,4.84,2.63,19,4.14,2.25,22
8038,mutter,4.4,0.82,20,3.67,2.06,21
8040,muzzle,3.95,1.75,21,4.65,2.29,23
8041,myriad,5.52,1.63,21,3.52,2.09,21
8043,mystery,5.29,2.03,21,5.04,2.6,23
8046,mysticism,6.0,1.86,19,4.29,2.53,21
8048,mystique,6.52,1.08,21,5.67,2.52,21
8049,myth,6.11,2.02,19,4.0,2.53,22
8051,mythology,6.1,1.77,20,4.27,2.53,22
8052,nab,3.65,1.53,20,4.27,2.23,22
8053,nacho,7.05,1.47,19,4.38,1.91,21
8054,nada,4.57,1.5,21,3.7,2.51,23
8055,nag,2.3,1.56,20,4.72,2.78,18
8056,nail,4.6,1.7,20,3.05,2.46,21
8057,nail gun,4.09,1.9,22,4.85,2.54,26
8060,nakedness,6.67,2.2,21,6.62,2.06,26
8061,name,5.62,1.56,21,3.04,2.12,23
8062,nameless,2.79,1.51,19,2.8,1.64,20
8063,nana,5.79,1.81,19,3.82,1.97,22
8064,nanny,5.86,1.8,21,4.05,2.46,22
8065,nanometer,5.15,1.42,20,3.59,2.06,22
8066,nap,6.53,1.95,19,4.14,2.41,21
8067,napalm,2.7,1.72,20,5.29,2.9,21
8068,napkin,5.63,1.92,19,3.09,2.67,22
8070,narcissism,3.25,1.83,20,5.05,2.42,21
8071,narcissist,3.11,1.7,19,5.81,2.02,21
8075,narrator,6.48,1.78,21,2.57,1.5,21
8076,narrow,4.95,1.0,20,4.53,2.57,19
8077,nasal,4.26,1.45,19,3.38,1.6,21
8079,nation,6.0,1.97,19,4.78,2.21,23
8081,nationality,5.6,1.1,20,3.5,2.16,20
8086,nature,6.88,1.94,42,4.0,2.69,42
8087,naughty,6.04,2.24,24,6.95,1.79,20
8088,nausea,1.68,1.0,19,4.59,2.52,22
8092,nautilus,5.29,2.03,21,3.76,1.79,21
8093,naval,5.19,1.78,21,2.86,1.9,21
8094,nave,3.9,1.41,21,3.52,1.54,21
8095,navel,4.89,2.03,18,3.36,1.94,22
8096,navigate,5.05,1.51,19,4.18,2.5,22
8097,navigation,5.84,1.64,19,4.0,1.88,22
8099,navigator,5.47,1.78,19,4.09,2.74,22
8100,navy,5.38,2.04,21,3.64,2.48,22
8102,neat,6.95,1.63,21,4.1,2.49,20
8103,nebula,7.0,2.03,18,4.05,2.4,21
8105,necessity,5.32,1.6,19,4.55,2.11,22
8106,neck,5.44,2.06,18,3.65,2.74,20
8107,necklace,6.85,1.53,20,3.52,2.6,21
8108,necktie,4.84,1.98,19,2.62,1.6,21
8109,necromancer,4.11,1.88,18,6.05,2.18,21
8110,nectar,6.8,1.87,41,3.95,2.32,22
8111,need,5.45,1.82,22,3.67,2.15,21
8112,needle,3.97,1.73,38,4.36,2.35,42
8113,needlepoint,5.55,1.43,20,3.2,2.19,20
8114,needless,4.25,1.83,20,2.95,2.06,21
8115,needy,2.9,1.29,20,4.68,1.7,25
8118,negativity,2.74,1.69,19,5.09,2.67,22
8119,neglect,2.16,1.21,19,4.72,2.49,43
8120,negligee,6.2,2.04,20,4.67,2.54,18
8121,negligence,2.7,1.17,20,4.22,2.61,23
8122,negligent,2.05,1.28,21,4.45,2.54,20
8125,negotiate,5.57,1.86,21,5.0,2.5,23
8126,negotiation,6.05,1.58,19,4.76,2.36,21
8127,negotiator,5.1,1.95,21,4.45,2.39,22
8128,negro,3.83,1.97,23,5.27,2.93,22
8129,neighbor,5.6,2.01,20,3.72,2.61,18
8130,neighborhood,6.09,1.85,22,4.05,2.33,20
8132,nemesis,2.44,1.42,18,5.5,1.95,22
8133,neon,6.48,1.86,21,4.56,2.29,25
8134,nephew,6.75,1.83,20,4.33,2.39,21
8135,nerd,5.18,2.17,22,4.46,2.34,26
8136,nerdy,4.68,1.95,19,4.3,2.62,20
8137,nerve,4.45,1.76,20,5.27,2.27,22
8139,nervousness,3.1,1.45,21,4.45,2.63,22
8141,net,5.0,1.76,21,3.0,2.09,23
8143,network,5.05,1.58,19,4.43,2.09,21
8144,networking,5.6,1.39,20,3.71,2.08,21
8147,neurologist,5.05,1.86,21,3.86,2.59,22
8148,neurology,4.95,1.6,21,4.55,2.67,20
8149,neurosis,3.15,1.35,20,4.3,2.15,20
8150,neurosurgeon,4.67,2.11,21,4.85,2.5,20
8151,neurosurgery,4.25,1.92,20,5.09,2.31,22
8153,neuter,4.11,1.7,19,4.9,2.36,20
8155,neutralize,5.19,1.29,21,3.36,1.87,22
8156,neutron,6.62,1.88,21,4.47,2.65,19
8159,newborn,7.48,1.69,21,4.96,2.86,25
8160,newcomer,5.8,1.4,20,5.05,2.63,19
8161,newfound,5.89,1.88,19,3.45,2.2,22
8163,news,4.96,1.43,23,4.61,2.3,38
8164,newscast,5.43,1.78,21,4.74,2.68,19
8165,newscaster,4.89,1.2,19,2.95,1.85,20
8166,newsflash,5.26,1.76,19,4.64,2.54,22
8167,newsletter,5.19,1.75,21,3.63,2.71,19
8168,newsman,5.52,1.44,21,3.12,2.36,24
8169,newspaper,5.11,1.15,19,2.67,1.93,21
8170,newspaperman,5.63,1.26,19,3.0,2.0,18
8171,newsreel,5.47,1.43,19,4.86,2.15,21
8172,newsroom,4.83,1.69,18,4.11,2.4,18
8173,newsstand,5.79,1.62,19,3.22,2.3,23
8174,newt,4.65,1.93,20,3.64,2.04,22
8175,nexus,5.57,1.57,21,3.96,2.56,25
8178,niche,5.75,1.68,20,3.43,1.86,21
8179,nickel,5.62,1.69,21,4.22,2.11,23
8180,nickname,6.14,1.2,21,4.38,2.3,26
8181,nicotine,3.05,2.5,21,4.04,2.7,25
8182,niece,6.52,1.75,21,3.95,1.8,21
8183,nifty,6.3,1.49,20,4.59,2.22,22
8184,nigger,1.67,1.24,21,6.81,2.16,21
8185,night,6.68,1.52,22,3.57,2.54,21
8186,nightcap,5.22,2.28,23,4.0,2.41,22
8187,nightclub,5.32,2.08,19,5.08,2.8,24
8188,nightfall,6.63,1.74,19,4.0,2.32,21
8190,nightie,7.11,1.91,18,4.57,2.5,23
8191,nightlife,5.95,2.17,19,6.36,2.19,22
